Song name,Artist,Genre,
Thik Hai,Khesari Lal Yadav,Party,
Chhalakata Hamro Jawaniya ,"Pawan Singh, Priyanka Singh",Party,
Pagal Banaibu Kare Patar Ki,Pagal Banaibu Kare Patar Ki,Party,
Lehnga Luckhnaowa,Lehnga Luckhnaowa,Party,
"Setting Kara K Ja (From ""Ja A Jaan Setting Kara K Ja"")","Setting Kara K Ja (From ""Ja A Jaan Setting Kara K Ja"")",Party,
Dhoka Deti Hai,Dhoka Deti Hai,Party,
Pandeyji Ka Beta Hoon With Dialogues,Pandeyji Ka Beta Hoon With Dialogues,Party,
Daal De Kewadi Mein Killi,Daal De Kewadi Mein Killi,Party,
Tu Has Ke Bolalu Ae Jaan,Tu Has Ke Bolalu Ae Jaan,Party,
Piyawa Se Pahile Hamar Rahalu,Piyawa Se Pahile Hamar Rahalu,Party,
Ye Raja Jai Na Bahriya,Ye Raja Jai Na Bahriya,Party,
Mitha Mitha Bathe Kamariya Ho,Pawan Singh,Party,
Sarso Ke Sagiya,"Khesari Lal Yadav, Priyanka Singh",Party,
Laga Ke Fair Lovely,"Khesari Lal Yadav, Khushboo Jain",Party,
Sutaal Tani Kora Mein,Khesari Lal Yadav,Party,
"Sorry Sorry - From ""Bhojpuriya Raja""",Pawan Singh,Party,
Chhoti Tohara Choti Se Chot Lagata,"Pramod Premi Yadav, Shilpi Raj",Party,
Hothlali Se Roti Bor Ke,Khesari Lal Yadav,Party,
Cooler Kurti Me Lagala,"Rajnish Mishra, Indu Sonali",Party,
Machardani Main Ghusa,Khesari Lal Yadav,Party,
Hot Bhojpuri Mashup Daiyaa Re Daiyaa,"Indu Sonali, Kalpana, Khesari Lal Yadav",Party,
Saiyan Ji Dilwa Mangelein,Kalpana,Party,
Babu Babu,"Pawan Singh, Priyanka Singh",Party,
Jable Jagal Bani,"Khesari Lal Yadav, Hunny B.",Party,
Laika Tohre Ke Papa Kahta,Neelkamal Singh,Party,
Kahan Bitawal Na,Raju Bedradi,Party,
Gori Tori Chunri Ba Laal Laal,"Ritesh Pandey, Antra Singh Priyanka",Party,
Kamariya Tutata Ae Raja,Ajit Soni,Party,
Kuware Me Ganga Nahaile Abani,"Ankush Raja, Shilpi Raj",Party,
Din Raat Rahe Khatiya Par Saath Ae Raja,Manish Akela,Party,
Nadi Biche Naiya Dole,Shilpi Raj,Party,
Badhata Jawani Jaise Bhaw Petrol Ke,Neel Kamal Singh,Party,
Namariya Kamariya Me Khos Deb,"Samar Singh, Shilpi Raj, Akanksha Dubey",Party,
Padhatani Nauva Mein,"Pramod Premi Yadav, Shilpi Raj",Party,
Piya Jahu Jan Kalkatiya,Shilpi Raj,Party,
Na Ye Dada Na Ho,"Ritesh Pandey, Shilpi Raj",Party,
Laundiya London Se Layenge,Ritesh Pandey,Party,
Laika Tohre Ke Papa Kahta,Neelkamal Singh,Party,
Red Lipstick,"Khesari Lal Yadav, Khushbu Tiwari KT",Party,
Raja Jawan Hum Laika,"Rakesh Mishra, Akanksha Dubey",Party,
"Hoth Lage Chonch - From ""Coolie No 1""","Khesari Lal Yadav, Khushboo Jain, Shyam Dehati, Azad Singh",Party,
Haradiya Ke Chhapi,"Samar Singh, Shilpi Raj",Party,
Lakho Hai Deewane,Ankush Raja,Party,
Najariya Na Lage,Pawan Singh,Party,
Love Dahej,"Dinesh Lal Yadav, Amrapali Dubey",Party,
Cooler Lagadi,"Pramod Premi Yadav, Shilpi Raj",Party,
Chit Badli Khiya Ke,Shilpi Raj,Party,
Laiki Ke Line Laag Jaai,"Ankush Raja, Shilpi Raj",Party,
Cholia yaar ke dihilka,Ankush Raja,Party ,
Baarish Ban Jaana (Bhojpuri),"Pawan Singh, Payal Dev",Romance,
Majnua Re Ab Ta Jiyabe Kaise,Anupma yadav,Romance,
Babua Naraz Ba,Pramod Premi Yadav,Romance,
Dil Mera Ishq Me Hara Hai,Arvind Akela Kallu Ji,Romance,
Salman Khan Aaya Hai,"Ritesh Pandey, Neha Raj, Pallavi Singh, Bablu Remix",Romance,
"Saancha Tod Dihle From ""Baapji""","Khesari Lal Yadav, Khushboo Tiwari KT, Om Jha",Romance,
Samiyana Ke Saata Bhail Ba,"Arvind Akela Kallu Ji, Shilpi Raj",Romance,
Reel Wali Dil Le Gayil,Arvind Akela Kallu Ji,Romance,
Jamuniya Rang Ke Sadiya,Ankush Raja,Romance,
Dupatta Katal Kare,Khesari Lal Yadav,Romance,
Marle Rahe Night Me Aaj Ghumta Flight Me,Akshara Singh,Romance,
Matak Matak Ke,"Ritesh Pandey, Shilpi Raj",Romance,
Viral Bhailu Facebook P,"Rakesh Mishra, Surabhi Shivani",Romance,
Rahat,"Shilpi Raj, Raunak Raut, Mohini Varshney",Romance,
"Palang Ke Paati Majboot - From ""Nakali Nawab""","Mohan Rathore, Priyanka Singh, Chhote Baba",Romance,
Mangar Ke Paricha Jayib,"Khesari Lal Yadav, Sona Singh",Romance,
Sadiya Beche Ayilai Lobharwa,"Gunjan Singh, Anupama Yadav",Romance,
Bihar Ki Tarah Doob Jayengey,"Khesari Lal Yadav, Sona Singh",Romance,
Kamar Ek No,"Samar Singh, Kavita Yadav",Romance,
Isha,"Khesari Lal Yadav, Kanishka Negi",Romance,
Nazar Ke Baan,Ritesh Pandey,Romance,
Kukudu Ku Jab Murga Boli,Pawan Singh,Romance,
Neeli Neeli Akhiyan,"Awanish Babu, Shilpi Raj",Romance,
Dil to Pagal Hai,Khesari Lal Yadav,Romance,
Biyah Bina Bigarataru,"Arvind Akela Kallu Ji, Shilpi Raj",Romance,
Number Block Chal Raha Hai,"Pawan Singh, Priyanka Singh",Romance,
Tohar Pahile Se Labhar Ba,"Neelkamal Singh, Shilpi Raj",Romance,
"Love Wala Dose - From ""Baapji""",Khesari Lal Yadav. Alka Jha,Romance,
Bana Ke Jaan Tohra Ke,Ankush Raja,Romance,
Man Manat Naikhe,Golu Gold,Romance,
