Name,Artist,Genre
Munbe Vaa,"A.R.Rahman, Naresh Iyer, Shreya Ghoshal",Romantic
Kadhaippoma,"Leon James, Sid Sriram",Romantic
Oru Manam,"Harris Jayaraj, Karthik, Shashaa Tirupati, Vikram",Romantic
Idhazim Oram,"Anirudh Ravichander, Ajesh",Romantic
Yaanji,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan",Romantic
Mental Manadhil,"A.R.Rahman, Jonita Gandhi",Romantic
Vaseegara,Bombay Jayashri,Romantic
Kaathalae Kaathalae,"Govind Vasantha, Chinmayi",Romantic
Maruvaarthai,Sid Sriram,Romantic
Naan Nee,"Shakthisree Gopalan, Dhee",Romantic
Rowdy Baby,"Yuvan Shankar Raja, Dhanush, Dhee",Romantic
Kaattu Payale,"G.V.Prakash, Dhee",Romantic
Kannazhaga,"Anirudh Ravichander, Dhanush, Shruti Haasan",Romantic
Yaen Ennai Pirindhaai,"Sid Sriram, Dhruv Vikram, Banita Sandhu",Romantic
Ennodu Maayavi Nee,"Santosh Narayanan, Sid Sriram",Romantic
Thooriga,Karthik,Romantic
Thangamey,Anirudh Ravichander,Romantic
Visiri,"Sid Sriram, Shashaa Tirupati",Romantic
Neeyum Naanum Anbe,"Hiphop Tamizha, Raghu Dixit, Sathyaprakash D, Jithin Raj",Romantic
Kangal Irandal,"James Vasanthan, Bellie Raj, Deepa Miriam",Romantic
Ennai Vittu,"Ranjith Govind, Masala Coffee",Romantic
Mazhai Kuruvi,A.R.Rahman,Romantic
Yaar Azhaippadhu,"Ghibran, Sid Sriram",Romantic
Pularaadha,"Sid Sriram, Aishwarya Ravichandran, Justin Prabhakaran",Romantic
Chellamma,"Anirudh Ravichander, Jonita Gandhi",Romantic
Othaiyadi Pathayila,"Dhibu Ninan Thomas, Anirudh Ravichander",Romantic
Yaaraiyum Ivlo Azhaga,"Vivek-Mervin, Silambarasan TR",Romantic
Idhayathai Yedho Ondru,"Harris Jayaraj, Chinmayi",Romantic
Thaarame Thaarame,"Sid Sriram, Ghibran",Romantic
En Jeevan,"Hariharan, Saindhavi, Vaikom Vijayalakshmi",Romantic
Asku Laska,"Vijay Prakash, Chinmayi, SUVI",Romantic
Thalli Pogathey,"A.R.Rahman, Sid Sriram, Aaryan Dinesh Kanagaratnam",Romantic
Nee Paartha Vizhigal,"Anirudh Ravichander, Vijay Yesudas, Shweta Mohan",Romantic
Nira,"Sid Sriram, Gautham Vasudev Menon, Malvi Sundaresan",Romantic
Adada Mazhaida,"Yuvan Shankar Raja, Rahul Nambiar, Saindhavi",Romantic
Sara Sara Saara Kathu,Chinmayi,Romantic
Veyyon Silli,"G.V.Prakash, Harish Sivaramakrishnan",Romantic
Takkunu Takkunu,"Hiphop Tamizha, Anirudh Ravichander",Romantic
Unakaga,"A.R.Rahman, Sreekanth Hariharan, Madhura dhara Talluri",Romantic
Bujji,"Santhosh Narayanan, Anirudh Ravichander",Romantic
Konii Pesida Venaam,"K. S. Chithra, Sriram Parthasarathy",Romantic
Uyir Uruvaatha,"Sathyaprakash, Chinmayi",Romantic
Vinmeen,"Abhay Jodhpurkar, Saindhavi",Romantic
Laali Laali,"Ghibran, Sathyaprakash",Romantic
Ayyayo,"G. V. Prakash, S. P. Balasubrahmanyam,",Romantic
Paarthen (The Youth Of Power Paandi),"Sean Roldan, Shweta Mohan",Romantic
Gaandakannazhagi,"Anirudh Ravichander, Neeti Mohan",Romantic
Po Indru Neeyaga,"Anirudh Ravichander, Dhanush",Romantic
Velicha Poove,"Anirudh Ravichander, Mohit Chauhan,",Romantic
Yembuttu Irukkuthu Aasai,"D. Imman, Sean Roldan, Kalyani Nair",Romantic
Enjoy Enjaami,"Dhee, Arivu, Santhosh Narayanan",Party
