Name,Artist,Genre
Party With Bholenath,Tanmoy Saadhak,Break-a-leg
Hingshute Ra Hingshe Kor,Keshab Dey,Break-a-leg
Noya Daman,Trissha Chatterjee,Break-a-leg
Bangali Jindabad,"Pradipto Haider, Mridul Ghatak, DJ Push",Break-a-leg
Aaye Na Kache Re,Nakash Aziz,Break-a-leg
Tui Amar Rani,"Porshia Sen, Aritra Banerjee",Break-a-leg
Bangla Ke Rangiye,"DJ AKS, Shunno",Break-a-leg
"MashUp, Vol.2","Dulzy, Riddo",Break-a-leg
Jombe Ashor,"Satrujit Dasgupta, Divyaa Roy, Dabbu",Break-a-leg
Ami Junglee Billi,Adrita Jhinuk,Break-a-leg
Dhip Dhip Buker Majhe,Nakash Aziz,Break-a-leg
Pagol Hoye Jai,Debojyoti Sarkar,Break-a-leg
Turu Love 2.0,"Supratip Bhattacharya, Hrishi Pandey, Gaurav Gupta",Break-a-leg
Bhallagena,"Rohen Bose, Maahirii Bose",Break-a-leg
Krishno Aila Radhar Kunje,"Sagarika Bhattacherjee, Lucifer",Break-a-leg
Rajpori,"Bhaskar Basu, DJ Push",Break-a-leg
Jbl E Gaan Bajabo,Keshab Dey,Break-a-leg
Mishti Mamoni,"Shovan Ganguly, Madhuri Dey",Break-a-leg
Tomar Naame,Tanmoy Saadhak,Break-a-leg
Chata Dhoro He Deora,Nilanjan Bhattacharyya,Break-a-leg
Bongo Baby,"Deep, Aparajita Chatterjee, Loy-Deep",Break-a-leg
Hobe Hobe Khela Hobe,Soumen Parida,Break-a-leg
Pawri Hori Hai Nacho Mix,"Roni Dasguptam Soumen Parida, Somu Dazzling",Break-a-leg
Kaka,Jojo,Break-a-leg
Lovely Lolona,"Deep, Aparajita Chatterjee, Loy-Deep",Break-a-leg
Toke Dekhe,Aywan,Break-a-leg
Boudi Khela Hobe,Keshab Dey,Break-a-leg
Sundori Komola,"Sundha Biswas, L3AD",Break-a-leg
Ojana,Iman Chkraborty,Break-a-leg
Baba Tomar Dorbare,Keshab Dey,Break-a-leg
Oh Ki Lagche 2,Keshab Dey,Break-a-leg
Lal Tip,"Asif Akbar, Jemi Yasmin",Break-a-leg
Lets's Do Romance,"Prasenjit Mallik, Shyamoshree Saha, Dabbu",Break-a-leg
Befikar Besharam,"Satrujit Dasgupta, Somashree Chakraborty, Chirantan Banerjee",Break-a-leg
Tumpa,Arob Dey Chowdhuri,Break-a-leg
O Maa Go Turu Love,Sanket Das,Break-a-leg
Fultushi Boudi,Amit Paul,Break-a-leg
Marbo Toke Jhari,Abir Biswas,Break-a-leg
Sutiye Laal Kore Debo,"Keshab Dey, Pratik Kundu",Break-a-leg
Tumpa Remix,Arob Dey Chowdhuri,Break-a-leg
Buker Baranday,Keshab Dey,Break-a-leg
Ebar Pujote Lubo,Disha Banerjee,Break-a-leg
Mon Pakhi Remix,Timir Biswas,Break-a-leg
Sundari Kamala,Sudha Biswas,Break-a-leg
Lukochuri,Niloy BHN,Break-a-leg
Tatka Priya Marie,Jeet,Break-a-leg
Arre Arre Rash Er Nagor,Smita,Break-a-leg
De Signal,"Zubeen Garg, June Banerjee, Dev Sen",Break-a-leg
Sohag Chand,Rupankar Bagchi,Break-a-leg
Michhrir Dana,Shreya Ghoshal,Break-a-leg
Ganesh Beej Mantra,Suresh Wadkar,Devotional
