Song Name,Artist,Genre
Beggin,Måneskin,"indie rock italiano, italian pop"
STAY (with Justin Bieber),The Kid LAROI,australian hip hop
good 4 u,Olivia Rodrigo,pop
Bad Habits,Ed Sheeran,"pop, uk pop"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"lgbtq+ hip hop, pop rap"
MONTERO (Call Me By Your Name),Lil Nas X,"lgbtq+ hip hop, pop rap"
Kiss Me More (feat. SZA),Doja Cat,"dance pop, pop"
Todo De Ti,Rauw Alejandro,"puerto rican pop, trap latino"
Yonaguni,Bad Bunny,"latin, reggaeton, trap latino"
I WANNA BE YOUR SLAVE,Måneskin,"indie rock italiano, italian pop"
Levitating (feat. DaBaby),Dua Lipa,"dance pop, pop, uk pop"
Qué Más Pues?,"J Balvin, Maria Becerra","latin, reggaeton, reggaeton colombiano"
Permission to Dance,BTS,"k-pop, k-pop boy group"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"canadian pop, pop, post-teen pop"
Butter,BTS,"k-pop, k-pop boy group"
traitor,Olivia Rodrigo,pop
deja vu,Olivia Rodrigo,pop
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"canadian contemporary r&b, canadian pop, pop"
AM Remix,"Nio Garcia, J Balvin, Bad Bunny","latin, reggaeton, trap latino"
Need To Know,Doja Cat,"dance pop, pop"
Volando - Remix,"Mora, Bad Bunny, Sech","reggaeton, trap latino"
Aint Shit,Doja Cat,"dance pop, pop"
drivers license,Olivia Rodrigo,pop
Heat Waves,Glass Animals,"gauze pop, indietronica, shiver pop"
Blinding Lights,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
happier,Olivia Rodrigo,pop
Pepas,Farruko,"latin, latin hip hop, reggaeton, trap latino"
Motley Crew,Post Malone,"dfw rap, melodic rap, rap"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers","dance pop, house, pop dance, tropical house, uk dance"
Astronaut In The Ocean,Masked Wolf,australian hip hop
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic","dance pop, pop, post-teen pop"
Dont Go Yet,Camila Cabello,"dance pop, electropop, pop, post-teen pop"
favorite crime,Olivia Rodrigo,pop
Pareja Del Año,"Sebastian Yatra, Myke Towers","colombian pop, latin, reggaeton, reggaeton colombiano"
Watermelon Sugar,Harry Styles,"pop, post-teen pop"
NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI, 
RAPSTAR,Polo G,chicago rap
You Right,"Doja Cat, The Weeknd","dance pop, pop"
911 - Remix,"Sech, Jhay Cortez","latin, panamanian pop, reggaeton, trap latino"
DÁKITI,"Bad Bunny, Jhay Cortez","latin, reggaeton, trap latino"
Miénteme,"TINI, Maria Becerra","latin pop, pop argentino"
"jealousy, jealousy",Olivia Rodrigo,pop
Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander","latin, reggaeton, reggaeton colombiano"
Dynamite,BTS,"k-pop, k-pop boy group"
The Business,Tiësto,"big room, brostep, dance pop, dutch edm, edm, electro house, house, pop dance, slap house, trance, tropical house"
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,"dance pop, edm, electro house, pop, pop dance, tropical house"
Mood (feat. iann dior),24kGoldn,cali rap
Entre Nosotros,"Tiago PZK, LIT killah",trap argentino
Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers","latin, latin hip hop, reggaeton, trap latino"
Build a Bitch,Bella Poarch,
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam","argentine hip hop, pop venezolano, trap argentino, trap latino"
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",
NDA,Billie Eilish,"electropop, pop"
Rasputin,"Majestic, Boney M.","house, pop dance, uk dance"
Leave Before You Love Me (with Jonas Brothers),Marshmello,"brostep, edm, pop, pop dance, progressive electro house"
Freaks,Surf Curse,"dreamo, indie surf, surf punk, vegas indie"
Meu Pedaço de Pecado,João Gomes,
2/Catorce,"Rauw Alejandro, Mr. Naisgai","puerto rican pop, trap latino"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,"pop, pop rock"
Run,OneRepublic,"dance pop, piano rock, pop, pop rock"
Thot Shit,Megan Thee Stallion,"houston rap, pop, pop rap, trap queen"
Your Love (9PM),"ATB, Topic, A7S","german dance, german techno, german trance, trance"
brutal,Olivia Rodrigo,pop
Save Your Tears,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Heartbreak Anniversary,Giveon,"pop, r&b"
Dont Start Now,Dua Lipa,
Dinero,Trinidad Cardona,
Sweater Weather,The Neighbourhood,"modern alternative rock, modern rock, pop"
Sobrio,Maluma,"latin, reggaeton, reggaeton colombiano"
Someone You Loved,Lewis Capaldi,"pop, uk pop"
Over The Top (feat. Drake),Smiley,"canadian hip hop, toronto rap"
2055,Sleepy Hallow,"brooklyn drill, nyc rap"
EL MAKINON,"KAROL G, Mariah Angeliq","latin, reggaeton, reggaeton colombiano"
Loco,"Justin Quiles, Chimbala, Zion & Lennox","latin, reggaeton, trap latino"
Love Tonight - Edit,Shouse,aussietronica
ZITTI E BUONI,Måneskin,"indie rock italiano, italian pop"
telepatía,Kali Uchis,"colombian pop, pop"
Botella Tras Botella,"Gera MX, Christian Nodal","mexican hip hop, rap conciencia"
Fiel,"Los Legendarios, Wisin, Jhay Cortez","reggaeton, trap latino"
Dance Monkey,Tones And I,"australian pop, pop"
WITHOUT YOU,The Kid LAROI,australian hip hop
Wants and Needs (feat. Lil Baby),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Bezos I,Bo Burnham,comic
Love Again,Dua Lipa,
Goosebumps - Remix,"Travis Scott, HVME","rap, slap house"
Head & Heart (feat. MNEK),Joel Corry,"dance pop, edm, pop, pop dance, tropical house, uk dance"
BED,"Joel Corry, RAYE, David Guetta","dance pop, edm, pop, pop dance, tropical house, uk dance"
Iko Iko (My Bestie),"Justin Wellington, Small Jam","melanesian pop, pacific islands pop, png pop"
Better Believe,"Belly, The Weeknd, Young Thug","canadian hip hop, canadian trap, pop rap, rap, southern hip hop, trap, trap soul, underground hip hop"
Arcade,Duncan Laurence,dutch pop
512,"Mora, Jhay Cortez","reggaeton, trap latino"
positions,Ariana Grande,"dance pop, pop, post-teen pop"
Circles,Post Malone,"dfw rap, melodic rap, rap"
Blaues Licht,"RAF Camora, Bonez MC",german hip hop
