Song-Name,Singer/Artists,Genre
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",Dance
Coca Cola,"Neha Kakkar, Tony Kakkar",DanceRomantic
Apna Time Aayega,Ranveer Singh,Dance
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",Dance
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",Romantic
Gali Gali,Neha Kakkar,Dance
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",Dance
Mere Gully Mein,Ranveer Singh,Dance
Kamariya,Darshan Raval,Dance
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",Romantic
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",Dance
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",Dance
Daaru Wargi,Guru Randhawa,Dance
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",Dance
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",Dance
Doori,Ranveer Singh,Dance
Dil Diyan Gallan,Atif Aslam,Romantic
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",Dance
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",Dance
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",Dance
Mere Naam Tu,Abhay Jodhpurkar,Romantic
High Rated Gabru – Nawabzaade,Guru Randhawa,Dance
Dekhte Dekhte,Atif Aslam,Romantic
Zingaat,"Ajay, Atul",Dance
Tareefan,Badshah,
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",Romantic
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",Dance
Tere Naal Nachna,"Badshah, Sunanda Sharma",Dance
Dil Meri Na Sune,Atif Aslam,Romantic
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",Romantic
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",DanceRomantic
Chogada,"Asees Kaur, Darshan Raval",Dance
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",Dance
Paniyon Sa,"Atif Aslam, Tulsi Kumar",Romantic
Milegi Milegi,Mika Singh,Dance
Morni Banke,"Guru Randhawa, Neha Kakkar",Dance
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",Dance
Khalibali,Shivam Pathak,Dance
Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",Dance
Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",Dance
Cheez Badi,"Neha Kakkar, Udit Narayan",Dance
Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",Dance
Sweetheart,Dev Negi,Dance
Namo Namo,Amit Trivedi,Devotional
Qaafirana,"Arijit Singh, Nikhita Gandhi",Romantic
Tu Hi Re,"Armaan Malik, Shashaa Tirupati",Dance
Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",Dance
Galti Se Mistake,"Amit Mishra, Arijit Singh",Dance
Phir Mulaaqat,Jubin Nautiyal,Romantic
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",Dance
Mantoiyat,Raftaar,
Nashe Si Chadh Gayi,Arijit Singh,Dance
Mera Pyar Tera Pyar,Arijit Singh,RomanticSad
Ding Dang,"Amit Mishra, Antara Mitra",Dance
Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",Dance
Laila Main Laila,Pawni Pandey,Dance
Ghoomar,"Shreya Ghoshal, Swaroop Khan",Dance
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",Dance
Pal,"Arijit Singh, Shreya Ghoshal",Romantic
Patola,Guru Randhawa,Dance
Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",Dance
Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",Dance
This Party Is Over Now,Yo Yo Honey Singh,Dance
Heer Badnaam,Romy,DanceSad
Tera Hua,Atif Aslam,Romantic
Jaan Nisaar,Arijit Singh,Romantic
Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",DanceRomantic
Rangtaari,"Dev Negi, Yo Yo Honey Singh",Dance
The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",Dance
Pehli Baar,Ajay Gogavale,Romantic
Tera Yaar Hoon Main,Arijit Singh,RomanticSad
Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",
Chhod Diya,Arijit Singh,Sad
Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",Dance
Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",Dance
Cham Cham,Monali Thakur,Dance
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",Motivational
Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",Dance
Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",Dance
Tera Fitoor,Arijit Singh,Romantic
Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",Romantic
The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Dance
Naino Ne Bandhi,Yasser Desai,Romantic
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,Romantic
Ban Ja Rani,Guru Randhawa,DanceRomantic
