Name,Artist,Genre
Kamaniye,Vijay Prakash,Romantic
Ide Swarga,"Sanjith Hegde, Nakul Abhyankar",Romantic
Nam Thayane,Sanjith Hegde,Romantic
Rangu Raate,"Vijay Prakash, B J Bharath",Romantic
Preethiye,"Sonu Nigam, Palak Muchhal",Romantic
Udupi Hotelu,Vijay Prakash,Romantic
O Baana Modagale,"Raghavendra BS, Sonu Nigam",Romantic
Ninnannu Nodaligaa,"Sridhar V Sambhram, Anwesha Dattagupta",Romantic
Haayagide,Sid Sriram,Romantic
Nayanake Nayane,"Dhanush Jagadish, Rakshitta Suresh",Romantic
Kannu Hodiyaka,Shreya  Ghoshal,Romantic
Neelrade,Rajesh Krishnan,Romantic
Nooraru Janmada,"Anuradha Bhat, Ganesh Karanth",Romantic
Amara Madhura,Anuradha Bhat,Romantic
Kanasinali Naa Nadeve,"Sanjith Hegde, B J Bharath",Romantic
Modala Saparshake,"Akshay.S, Deepthi Srinivas",Romantic
Ondu Sanna Thappanu,Sanjith Hegde,Romantic
Premam Poojyam,Hariharan,Romantic
Nee Kotiyali Obbane,Shreya Ghoshal,Romantic
Chitteya Haage Ninhinde,Anuradha Bhat,Romantic
Ninna Onde Notakke,Santosh Venky,Romantic
Kudi Notada,Sanjith Hegde,Romantic
Bareve Bareve Olava Kavana,Ankit Tiwari,Romantic
Nee Sigoovaregu,Sid Sriram,Romantic
Ee Prema,"Nakul Abhyankar, Ramya Bhat Abhyankar",Romantic
Nanu Nanu Preethisuthiruve,Chethan Naik,Romantic
Yaare Yaare,"Armaan Malik, Arjun Janya",Romantic
Neenaade Naa,"Armaan Malik, Shreya Ghoshal",Romantic
Jeeva Banda Bombe,"Santhosh Venky, Anuradha Bhat",Romantic
Nin Edurali Naanu,Shruthi Prahalad,Romantic
Nenapina Hudugiye,Vijay Prakash,Romantic
Omme Nodidare,Sanjith Hegde,Romantic
Ahale Ahale,"Gowtham Bharadwaj, Rajesh Murugesan",Romantic
Ninna Sanihake,"Sanjith Hegde, Shruthi V S",Romantic
Manamohana,"Sridhar V Sambhram, Anwesha Dattagupta",Romantic
Ati Chendada,Vijay Prakash,Romantic
Pataki Poriyo,"Vijay Prakash, Anuradha Bhat",Romantic
Marali Manasaagide,"Sanjith Hegde, C R Bobby",Romantic
Love you Chinna,"Shruthi V S, Nakul Abhyankar",Romantic
Arare Shuruvayitu Hege,Vijay Prakash,Romantic
Chaaruthanthi,Sonu Nigam,Romantic
Kannane Kannane,Shiva Rajkumar,Romantic
Maatanaadi Maayavade,Armaan Malik,Romantic
Nannavale Nannavale,Sonu Nigam,Romantic
Iniyana,Rithisha Padmanabh,Romantic
Oh!Oh! Love Aagoithalla,Raghu Dixit,Romantic
Jinu Jinugo Maleyali,Lakshmi Nataraj,Romantic
Aavala Sereyagide,Ankita Kundu,Romantic
Shaakuntle,Sanjith Hegde,Romantic
Ondondsari,Karthik,Romantic
Black And White,All ok,Rap
Obbane,Rahul Dit-o,Rap
Aadidde Aata,"Sachin Bagli, Mc Bijju",Rap
ZONE,"Gubbi, Sai Menon",Rap
Nashe,Rahul Dit-o,Rap
Baa Raja Baa ,"Rahul Dit-o, Mc Bijju, A.V.P, Narayan Sharma",Rap
No Fear,All ok,Rap
Salige,Chandan Shetty,Rap
Game On,Charlie,Rap
Nooru Maatide,"Ishq Bector, Chin Injeti, Gowthami",Rap
Guilty,"EmmJee, John",Rap
Infinity,Charlie,Rap
Hudugaru Tamba Ollevru,"Chaithra Kotoor, Shwetha Prabhu",Rap
Neenee Kane,Sumanth S,Rap
Thelu Baa,"Aksh, Tork",Rap
XOXO,Subhash Aras,Rap
Mosa,"Manchal, Runalo",Rap
Hosa Parinithi,Vivek Rachappa,Rap
Bad Bouncer,Ravi Raj,Rap
Good Vibe,Rahul Dit-o,Rap
Love Story Love Story,"Prem Hani, Swathi S.B",Rap
Crazy,All ok,Rap
Perfect Girl,Abhi Multi,Rap
Nande,Rahul Dit-o,Rap
Serial Killer,All ok,Rap
Thalme ,Rahul Dit-o,Rap
