Name,Artist,Genre
Dhaga Dhaga,"Harsh Wavre, Anand Joshi",Romantic
Majha Pillu,"Sneha Mahadik, Pravin Koli",Romantic
Mitwaa,"Shankar mahadevan, Jaanvee Prabhu Arora",Romantic
Tola Tola,"Amitraj, Bela Shende",Romantic
Majhi Baay Go,"Prashant Nakti, Sonali Sonawane, Keval Walanj",Romantic
Chandanya Punvecha Ratila,"Sneha Mahadik, Raj Irmali",Romantic
Mi Naadkhula,"Prashant Nakti, Sonali Sonawane, Adarsh Shinde",Romantic
Deewana,"Keval Walanj, Sonali Sonavane",Romantic
Love You Bol Na,"Keval Walanj, Samruddha R K",Romantic
Kitida Navyane,"Mandar Aapte, Aarya Ambekar",Romantic
Chandana Dadlaya,Adarsh Shinde,Romantic
Ishq Pirman Ranglay,"Keval Walanj, Sneha Mahadik, Sonali Sonawane",Romantic
Lagira  Jhala,Sonali Sonawane,Romantic
Navasa Ishara,"Rohan Pradhan, Shreya Ghoshal",Romantic
Nakhwa,"Keval Walanj, Sadhana Kakatkar",Romantic
Jeev Jhala Khula,Abhishek Telang,Romantic
Sarlela Kshan,Keval Walanj,Romantic
Jagana He Nyara Jhala Ji,"Amit Raj, Madhura Kumbhar",Romantic
Hrudayat Vaje Something,Vidhit Patankar,Romantic
Govyachya Kinaryav,"Shubhangi Kedar, Pravin Koli, Rajneesh Patel",Romantic
Dimple,Sanju Rathod,Romantic
Kadhi Tu,Hrishikesh Ranade,Romantic
Aabhas Ha,"Rahul Vaidya, Vaishali Samant",Romantic
Vedya Manala,"Sonali Sonawane, Manish Kamble",Romantic
Kona Maga Bhir Bhirata Hey Mana Pakharu,Abhay Jodhpurkar,Romantic
Pirtich Gaon,"Sonali Sonawane, Viraj Daki",Romantic
Jeev Rangla,"Ajay Atul, Hariharan, Shreya Ghoshal",Romantic
Tik TIk Vajate Dokyaat,"Sonu Nigam, Sayali Pankaj",Romantic
Jara Jara,"Hrishikesh Ranade, Aarya Ambekar",Romantic
Adhir Man jhale,Shreya Ghoshal,Romantic
Mast Malanga,"Gaurav Dagaonkar, Savaniee Ravindrra",Romantic
Swapna Chalun Aale,"Sonu Nigam, Sayali Pankaj",Romantic
Mann Unad,Vijay Bhate,Romantic
Shona,"Rohit Raut, Juilee Joglekar",Romantic
Sunya Sunya,"Ketaki Mategaonkar, Adarsh Shinde",Romantic
Sar Sukhachi Shravani,"Abhijeet Sawant, Bela Shende",Romantic
Khulach Zalo Ga,Aishwarya Malgave,Romantic
Yad Lagla,Ajay Gogavale,Romantic
"Tu Jarashi - From ""What's Up Lagna""","Hrishikesh Rande, Nihira Joshi Deshpande",Romantic
Tula Pahata,Hrishikesh Ranade,Romantic
Daatale Reshami,"Mahalakshmi lyer, Chinar Kharkar",Romantic
Aatach Baya Ka Baavarla,Shreya Ghoshal,Romantic
Jeev Bhulala,"Sonu Nigam, Shreya Ghoshal",Romantic
Tu Saaso Mein Tu Dhadkaono Mein Tu,"Hrishikesh Kamerkar, Shilpa Pai",Romantic
Hi Gulabi Hawa,"Vaishali Samant, Swapnil Bandodkar",Romantic
Roj Roj Navyane,"Amitraj, Sonu Nigam, Shreya Ghoshal",Romantic
Tu Havishi,"Sonu Nigam, Priyanka Barve",Romantic
Reshami Reshami,"Gaurav Dagaonkar, Aanandi Joshi",Romantic
Golu Polu,"Rohit Shyam Raut, Priya Bapat",Romantic
Sairat Jhala Ji,"Chinmayi, Ajay Gogavale",Romantic
Zingaat,"Ajay Gogavale, Atul Gogavale",Party
Band Walva Band Tuzha Vaiu De,Anand Shinde,Party
Ishkkachi Nauka,"Keval Walanj, Shubhangi Kedar",Party
Ye Go Ye Ye Maina,Ajay ,Party
Aika Dajiba,Vaishali Samant,Party
Kar Man Lagan,"Megha Musale, Bhaiya More",Party
Bring It On,Ajay Gogavale,Party
Ararara,Adarsh Shinde,Party
Meri Madhubala,Avadhoot Gupte,Party
Shantabai,Sanjay Londhe,Party
Lagnalu,"Kaustubh Gaikwad, Janardan Khandalkar",Party
"Kombdi Palali From ""Jatra""","Anand Shinde, Vaishali Samant",Party
