Name,Artist,Genre
"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak",Romantic
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",Romantic
Dholna,B Praak,Romantic
Mere Wala Sardar,"Jagraj Sandhu, Dr. Shree",Romantic
Channa Ve,B Praak,Romantic
Yaari,"Nikk, Avneet Kaur",Romantic
Nit Nit,Jasleen Royal,Romantic
Ik Tera,Maninder Buttar,Romantic
Kalla Sohna Nai,Akhil,Romantic
Sakhiyaan,Maninder Buttar,Romantic
Laare,Maninder Buttar,Romantic
Sohnea,"Miss Pooja, Millind Gaba",Romantic
Qismat,"Ammy Virk, B Praak",Romantic
Mann Bharrya,B Praak,Romantic
Yaarr Ni Milyaa,"Harrdy Sandhu, B Praak, Jaani",Romantic
Khaab,Akhil,Romantic
Soch,Harrdy Sandhu,Romantic
Jind Mahi,Diljit Dosanjh,Romantic
Marjaawaan,"Gurnazar, Asees Kaur",Romantic
Duji Vaar Pyaar,"Sahil Tomar, Sunanda Sharma",Romantic
Viah,Jass Manak,Romantic
Baari,"Bilal Saeed, Momina Mustehsan",Romantic
Main Tenu,Rahat Fateh Ali Khan,Romantic
Kaun Hoye Ga,"B Praak, Divya Bhatt",Romantic
Mere Wali Sardarni,"Jugraj Sandhu, Neha Malik",Romantic
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Abhijit Vaghani,",Romantic
Main Teri Ho Gayi,Millind Gaba,Romantic
Tu Hi Das De,"Tedi Pagg, Simar Panag, Mickey Singh",Romantic
Haaye ve,Ammy Virk,Romantic
Daryaa,"Ammy Virk, Shahid Mallya",Romantic
Dil Diyan Gallan,"Vishal-Shekhar, Julius Packiam,",Romantic
Love You,Akull,Romantic
Jatti,Karan Randhawa,Romantic
Enna Sona,"A.R. Rahman, Arijit Singh",Romantic
Haaye Oye (feat. Ash King),"QARAN, Ash King",Romantic
"She Don't Know (From ""Blessed"")","Millind Gaba, Music Mg",Romantic
Jannat Ve,Darshan Raval,Romantic
Tere Jeya Hor Disda,The Yellow Diary,Romantic
Rukh,Akhil,Romantic
Guitar Sikhda,Jassie Gill,Romantic
Manauna Ve,"Arsh Jordan, Garry on the Track",Romantic
Rabba Mehar Kari,Darshan Raval,Romantic
Jannat,B Praak,Romantic
Ishq Tera,Guru Randhawa,Romantic
Ranjheya,"Ravneet Singh, Jus Keys",Romantic
Bahana,Akull,Romantic
Tera Soniye,"Jay Rode, Yung Delic",Romantic
Awaaz,Kamal Khan,Romantic
Kanjoos Maahi,Ravneet Singh,Romantic
Love You Oye,Prabh Gill,Romantic
Sauda Khara Khara,"Diljit Dosanjh, Sukhbir",Party
Daru Badnaam,"Param Singh, Kamal Kahlon",Party
Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill",Party
Patola,"Guru Randhawa, Bohemia",Party
Hostel,Sharry Mann,Party
3 Peg,"Sharry Mann, Mista Baaz",Party
Bom Diggy Diggy,"Zack Knight, Jasmin Walia",Party
Yaar Anmule,Sharry Mann,Party
Wakhra Swag,"Navv Inder, Badshah",Party
Daaru Wargi,Guru Randhawa,Party
Morni Banke,"Guru Randhawa, Neha Kakkar",Party
Na Ja,Pav Dharia,Party
Sip Sip,"Jasmine Sandlas, Intense",Party
High Rated Gabru,Guru Randhawa,Party
Lahore,Guru Randhawa,Party
Ban Ja Rani,"Guru Randhawa, Rajat Nagpal",Party
High Heels,"Jaz Dhami, Yo Yo Honey Singh",Party
Angreji Beat,"Yo Yo Honey Singh, Gippy Grewal",Party
Dope Shope,"Yo Yo Honey Singh, Deep Money",Party
Kya Baat Ay,Harrdy Sandhu,Party
Suit Suit,"Guru Randhawa, Arjun",Party
Jaguar,Bohemia,Party
Illegal Weapon,"Garry Sandhu, Jasmine Sandlas",Party
Patiala Peg,Diljit Dosanjh,Party
Chhote Chhote Peg,"Yo Yo Honey Singh, Neha Kakkar",Party
Hornn Blow,"Harrdy Sandhu, B Praak",Party
Laung Gawacha,"Nucleya, Avneet Khurmi",Party
Sadi Gali,Lehmber Hussainpuri,Party
5 Taara,"Diljit Dosanjh, Jatinder Shah",Party
Swag Mera Desi,"Raftaar, Manj Musik",Party
Brown Rang,Yo Yo Honey Singh,Party
She Move It Like,Badshah,Party
Bapu Zimidar,Jassie Gill,Party
Kangna,"Dr Zeus, Master Rakesh, Deepti, Shortie",Party
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",Party
Mundian to Bach Ke,Panjabi MC,Party
Dhol Jageero Da,Panjabi MC,Party
Gallan Goodiyaan,"Yashita Sharma, Manish Kumar Tipu",Party
Naah Goriye,"B Praak, Harrdy Sandhu, Swasti Mehul",Party
Saturday Saturday,"Shaarib Toshi, Badshah, Indeep Bakshi",Party
Dj Waley Babu,"Badshah, Aastha Gill",Party
Tere Naal Nachna,"Badshah, Sunanda Sharma",Party
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",Party
Ishq Tera Tadpave - Oh Ho Ho Ho -,Sukhbir,Party
Jaani Tera Naa,Sunanda Sharma,Party
Yeh Baby,Garry Sandhu,Party
