Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
Game of Thrones,(2011–2019),A,"Action, Adventure, Drama",9.3,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey
Breaking Bad,(2008–2013),18,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt
The Walking Dead,(2010– ),18,"Drama, Horror, Thriller",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,Andrew Lincoln,Norman Reedus,Melissa McBride,Danai Gurira
Friends,(1994–2004),13,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc
Stranger Things,(2016– ),15,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour
Sherlock,(2010–2017),UA,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves
The Big Bang Theory,(2007–2019),U,"Comedy, Romance",8.1,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helberg
Dexter,(2006–2021),A,"Crime, Drama, Mystery",8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar
How I Met Your Mother,(2005–2014),15,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harris
True Detective,(2014– ),A,"Crime, Drama, Mystery",9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch
Lost,(2004–2010),A,"Adventure, Drama, Fantasy",8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,Jorge Garcia,Josh Holloway,Yunjin Kim,Evangeline Lilly
Prison Break,(2005–2017),UA,"Action, Crime, Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",Dominic Purcell,Wentworth Miller,Amaury Nolasco,Robert Knepper
House of Cards,(2013–2018),16,Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Kevin Spacey,Michel Gill,Robin Wright,Kate Mara
Black Mirror,(2011– ),A,"Drama, Sci-Fi, Thriller",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones
Vikings,(2013–2020),A,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst
Westworld,(2016– ),A,"Drama, Mystery, Sci-Fi",8.6,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton
The Office,(2005–2013),U,Comedy,8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson
House M.D.,(2004–2012),UA,"Drama, Mystery",8.7,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer
Arrow,(2012–2020),A,"Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",Stephen Amell,Katie Cassidy,David Ramsey,Susanna Thompson
Supernatural,(2005–2020),16,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collins
Rick and Morty,(2013– ),16,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke
The Simpsons,(1989– ),U,"Animation, Comedy",8.7,The satiric adventures of a working-class family in the misfit city of Springfield.,Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner
Suits,(2011–2019),13,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.",Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty
Daredevil,(2015–2018),18,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson
Narcos,(2015–2017),A,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann
Modern Family,(2009–2020),12,"Comedy, Drama, Romance",8.4,Three different but related families face trials and tribulations in their own uniquely comedic ways.,Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrell
Peaky Blinders,(2013– ),A,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle
Mr. Robot,(2015–2019),16,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström
South Park,(1997– ),18,"Animation, Comedy",8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall
Fargo,(2014– ),16,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks
Better Call Saul,(2015–2021),16,"Crime, Drama",8.7,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian
Homeland,(2011–2020),UA,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,Claire Danes,Mandy Patinkin,Damian Lewis,Rupert Friend
The Flash,(2014– ),12,"Action, Adventure, Drama",7.7,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes
Family Guy,(1999– ),13,"Animation, Comedy",8.1,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis
The Sopranos,(1999–2007),15,"Crime, Drama",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli
The Witcher,(2019– ),,"Action, Adventure, Fantasy",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",Henry Cavill,Freya Allan,Yasen Atour,Basil Eidenbenz
La casa de papel,(2017– ),16,"Action, Crime, Mystery",8.3,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso
The Mandalorian,(2019– ),U,"Action, Adventure, Sci-Fi",8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Pedro Pascal,Gina Carano,Giancarlo Esposito,Chris Bartlett
The Wire,(2002–2008),15,"Crime, Drama, Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce
Dark,(2017–2020),16,"Crime, Drama, Mystery",8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne
The Vampire Diaries,(2009–2017),16,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graham
Orange Is the New Black,(2013–2019),18,"Comedy, Crime, Drama",8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",Taylor Schilling,Danielle Brooks,Taryn Manning,Emma Myles
American Horror Story,(2011– ),A,"Drama, Horror, Thriller",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson
Arrested Development,(2003–2019),A,Comedy,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett
Sons of Anarchy,(2008–2014),18,"Crime, Drama, Thriller",8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates
13 Reasons Why,(2017–2020),16,"Drama, Mystery, Thriller",7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",Dylan Minnette,Katherine Langford,Christian Navarro,Alisha Boe
Seinfeld,(1989–1998),13,Comedy,8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander
Grey's Anatomy,(2005– ),15,"Drama, Romance",7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,Ellen Pompeo,Chandra Wilson,James Pickens Jr.,Justin Chambers
Avatar: The Last Airbender,(2005–2008),U,"Animation, Action, Adventure",9.2,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena
The Boys,(2019– ),18,"Action, Comedy, Crime",8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty
Firefly,(2002–2003),,"Adventure, Drama, Sci-Fi",9,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin
Two and a Half Men,(2003–2015),16,"Comedy, Romance",7,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,Jon Cryer,Ashton Kutcher,Angus T. Jones,Conchata Ferrell
