Name,Artist,Genre
Buttabomma,"Armaan Malik, Thaman S",Romantic
Baby Won't You Tell Me,"Shweta Mohan, Siddharth Mahadevan",Romantic
"Maate Vinadhuga - From ""Taxiwaala""",Sid Sriram,Romantic
Chitti,Ram Mirivala,Romantic
Hoyna Hoyna,"Anirudh Ravichander, Inno Genga",Romantic
Ay Pilla,"Haricharan, Pawan Ch",Romantic
Tharagathi Gadhi,Kala Bhairava,Romantic
O Kalala Kathala,"Sathyaprakash, Chinmayi",Romantic
Inkem Inkem Inkem Kaavaale,"Gopi Sundar, Sid Sriram",Romantic
Telusaa Telusaa,"Jubin Nautiyal, Sameera Bharadwaj",Romantic
Nee Neeli Kannullona,"Gowtham Bharadwaj, Justin Prabhakaran",Romantic
Jala Jala Jalapaatham Nuvvu,"Devi Sri Prasad, Jaspreet Jasz",Romantic
Samajavaragamana,Sid Sriram,Romantic
The Karma Theme,Anirudh Ravichander,Romantic
Undipova,"Spoorthi Jithender, Shekar Chandra",Romantic
Okey Oka Lokam,"Arun Chiluveru, Sid Sriram",Romantic
Nee Kannu Neeli Samudram,"Javed Ali, Devi Sri Prasad",Romantic
Kadalalle,"Sid Sriram, Aishwarya Ravichandran",Romantic
Adhento Gaani Vunnapaatuga,Anirudh Ravichander,Romantic
Vastunna Vachestunna,"Shreya Ghoshal, Amit Trivedi",Romantic
Naaloney Pongaynu,"Harris Jayaraj, VV Prassanna",Romantic
Adiga Adiga,"Gopi Sundar, Sid Sriram",Romantic
Kaatuka Kanule,"G. V. Prakash, Dhee",Romantic
Nenu Nuvvantu,"Naresh lyer, Nadeesh, U.V.Jackey",Romantic
Undiporaadhey,Sid Sriram,Romantic
Gaali Vaaluga,Anirudh Ravichander,Romantic
Pillaa Raa,"Chaitan Bharadwaj, Anurag Kulkarni",Romantic
Nuvvunte Naa Jathagaa,"A.R. Rahman, Sid Sriram, Issrath Quadhri",Romantic
The Breakup Sonq,"Radhan, L. V. Revanth",Romantic
Manasa Manasa,"Sid Sriram, Gopi Sundar",Romantic
Padi Padi Leche,"Armaan Malik, Sinduri Vishal",Romantic
Oosupodu,Hemachandra Vedala,Romantic
Hey Idi Nenena,"Thaman S, Sid Sriram",Romantic
Baitikochi Chuste,Anirudh Ravichander,Romantic
Emo Emo,Sid Sriram,Romantic
Super Cute,"Nakash Aziz, Mahati Swara Sagar",Romantic
Uppenantha,Devi Sri Prasad. KK,Romantic
Nee Chitram Choosi,Anurag Kulkarni,Romantic
Koppamga Koppamga,"Thaman S, Armaan Malik",Romantic
Hey Pillagaada,"Sindhuri, Sinov Raj",Romantic
Ela Ela Naalo,"Haricharan, Swetha",Romantic
Kannuladha - The Kiss of Love,"Anirudh Ravichander, Dhanush",Romantic
Ga Gha Megha,Rahul Nambiar,Romantic
Emai Poyave,Sid Sriram,Romantic
Kallolam,Anurag Kulkarni,Romantic
Bujji Bangaram,"Nakash Aziz, Deepthi Parthasarathy",Romantic
He's Soo Cute,"Madhu Priya, Devi Sri Prasad",Romantic
Kanti Papa,"Thaman S, Armaan Malik, Deepu",Romantic
Rooba Rooba,"Shahil Hada, Chinmayi",Romantic
Emannavoo,"Anirudh Ravichander, Shweta Mohan",Romantic
Ramuloo Ramulaa,"Anurag Kulkarni, Mangli, Thaman S",Party
Saranga Dariya,Mangli,Party
Laahe Laahe,"Mani Sharma, Harika Narayan",Party
Master Coming,"Anirudh Ravichander, Gaana Balachandar",Party
Mass Biriyani,"Rahul Nambiar, Sahithi Chaganti, Thaman S",Party
Bujji,Santhosh Narayanan,Party
Bhalegundi Baalaa,"Mickey J. Meyer, Penchal Das.",Party
Bujjulu Bujjulu,"M. M. Keeravani, Baba Sehgal, Mangli",Party
Mandhuloda,"Mani Sharma, Sahithi Chaganti",Party
Jwala Reddy,"Shankar Babu, Mangli",Party
Bad Boy,"Badshaah, Neeti Mohan",Party
Bhoom Bhaddhal,"Mangli, Simha, Thaman S",Party
Nakkileesu Golusu,Raghu Kunche,Party
Muqabla,"Yash Narvekar, Parampara Tandon",Party
Seetimaarr,"L. V. Revanth, Anurag Kulkarni, Varam",Party
Dinchak,"Keerthana Sharma, Saketh, Mani Sharma",Party
Whattey Beauty,"Dhanunjay Seepana, Amala Chebolu",Party
Private Party,"M.C. Vickey, M. M. Manasi",Party
Alludu Adhurs,"Devi Sri Prasad, Jaspreet Jasz, Vaishnavi",Party
Karabuu,Anurag Kulkarni,Party
Pilla Picture Perfect,Nikita Gandhi,Party
Psycho Saiyaan,"Anirudh Ravichander, Dhvani Bhanushali",Party
Rowdy Baby,"Yuvan Shankar Raja, Dhanush",Party
Mind Block,"Blaaze, Ranina Reddy, Daui Sri Prasad",Party
Dimak Kharaab,"Keerthana Sharma, Saketh",Party
Ek Baar,"Dsp, Ranina Reddy",Party
Daang Daang,"Nakash Aziz, Lavita Lobo",Party
Chill Bro,Vivek - Mervin,Party
Coca Cola Pepsi,"Aditi Bhavaraju, Ramya Behra",Party
Pori Kickka Bottle Kickka,"Hemachandra Vedala, K Lokesh, Sanjeev T",Party
Meeko Dhandam,"Dhanunjay Seepana, Mohana Bhogaraju",Party
Seeti Maar,"Jaspreet Jasz, Rita",Party
Bulreddy,"Uma Neha, Teja, Santosh.G, Amito",Party
Jigelu Rani,"Rela Kumar, Ganta Venkata Lakshmi",Party
Miami,"Aditi Singh Sharma, Rita",Party
Bonalu,"Rahul Sipligunj, Mohana Bhogaraju",Party
Paala Pitta,"Rahul Sipligunj, M. M. Manasi",Party
Glassmates,"Rahul Sipligunj, Penchal Das,",Party
Rechipodham,David Simon,Party
Chitike,"Anirudh Ravichander, Rahul Sipligunj",Party
Swing Zara,"Neha Bhasin, Dsp, Devi Sri Prasad",Party
One & Two & Three,Sooraj Santhosh,Party
Lover Also Fighter Also,Shekhar Ravjiani,Party
Blockbuster,"Shreya Ghoshal, Nakash Aziz, Simha",Party
Hulala,"Sweekar Agasthi, Silvia Anisha",Party
Reddy Ikkada Soodu,"Daler Mehndi, Anjana Sowmya",Party
Apple Beauty,"Yazin Nizar, Neha Bhasin",Party
Ammadu Let's Do Kummudu,"Devi Sri Prasad, Ranina Reddy",Party
"Bombhaat - From ""LIE""","Mani Sharma, Ramya Behra, Rahul Sipligunj",Party
Family Party,Jaspreet Jasz,Party
Hoyna Hoyna,"Anirudh Ravichander, Inno Genga",Chill
Gira Gira Gira,"Gowtham Bharadwaj, Yamini Ghantasala",Chill
Inkem Inkem Inkem Kaavaale,Sid Sriram,Chill
Pillaa Raa,Anurag Kulkarni,Chill
Hey Pillagaada,"Sindhuri, Sinov Raj",Chill
Sehri…Sehari,"Thoshi, Priya",Chill
Preminche Premava,"Shreya Ghoshal, Naresh Ayar",Chill
Gaali Vaaluga,Anirudh Ravichander,Chill
Neethoney Dance,"Hiphop Tamizha, Nikhita Gandhi",Chill
Ye Chota Nuvvunna,"Guru Randhawa, Tulsi Kumar",Chill
Endhuko Emo,"Aalaap Raju, Prasanthini",Chill
Oh Baby,Anurag Kulkarni,Chill
Naa Gundello,"Yazin Nizar, Nikhita Gandhi",Chill
Vachinde,"Madhu Priya, Ramky",Chill
Choti Choti Baatein,Devi Sri Prasad,Chill
Baitikochi Chuste,Anirudh Ravichander,Chill
Freak Pilla,"Dinakar, Neethu Naduvathettu",Chill
Oh Priya Priya,"Adnan Sami, Nithya Menen",Chill
Peddha Peddha Kallathoti,Yazin Nizar,Chill
Dhak Dhak Dhak,Sarath Santosh,Chill
My World Is Flying,Alphons Joseph,Chill
Niluvaddham,"Karthik, Sumangali",Chill
You Are My Heart Beat,Anurag Kulkarni,Chill
Idhedho Bagundhe,"Vijay Prakash, Anitha Karthikeyan",Chill
Seethakaalam,Yazin Nizar,Chill
Piyo Piyo Re,"Jaspreet Jasz, Anup Rubens, Meghraj",Chill
Choosa Choosa,"Padmalatha, Sniggy",Chill
Unnatundi Gundey,"Karthik, Chinmayi",Chill
Bujji Pilla,Silambarasan TR,Chill
Motta Modatisari,Sachin Warrier,Chill
Chandamame,Yazin Nizar,Chill
Super Machi,"Devi Sri Prasad, Sravana Bhargavi, Magiz.",Chill
Evare Nuvvu,"Yuvan Shankar Raja, Harish Raghavendra",Chill
Prema Vennela,Sudharshan Ashok,Chill
"Vaaru Veeru - From ""Devadas""","Mani Sharma, Anurag Kulkarni, Anjana",Chill
Noppi Noppi,Naveen,Chill
Rang De,"Ramya Behra, Rahul Nambiar, Shivani",Chill
Manassa,Haricharan,Chill
Naalo Nenu,Sameera Bharadwaj,Chill
Madhu,Adnan Sami,Chill
Anu Baby,Anudeep Dev,Chill
Muddabanthi ,"Dhibu Ninan Thomas, Yazin Nizar",Chill
Naa Pere Kanchanamaala,"Karthik, Malathi",Chill
Gala Gala Gangu,"Tippu, Vijay Gopal, Haricharan, Sayanora",Chill
Chiguraku chatu,"S.P.Charan, Sujatha",Chill
Barbie Girl,"Jaspreet Jasz, Suchitra",Chill
Happy,Karthik,Chill
Pillaa,"Vaddepalli Srinivas, Pawan Kalyan",Chill
Gundello Edo Sadi,"Chakri, Kousalya",Chill
Yenti Yenti,Chinmayi,Chill
Maate Vinadhuga,Sid Sriram,Chill
Vachindamma,Sid Sriram,Chill
Aagave Nuvvagave,Sid Sriram,Sad
Telisiney Na Nuvvey,L. V. Revanth,Sad
Pillaa Raa,Anurag Kulkarni,Sad
Yetu Pone,Kala Bhairava,Sad
Ninne Thalachi Thalachi,"llaiyaraaja, Yazin Nizar",Sad
Peniviti,Kala Bhairava,Sad
My Love Is Gone,"Devi Sri Prasad, Ranjith Govind",Sad
Atu Nuvve,Neha Bhasin,Sad
Kariga Loga ,"Devi Sri Prasad, Sagar",Sad
Nammaka Tappani,Sagar,Sad
Alisina Soopulalo ,"Mickey J. Meyer, Mohana Bhogaraju",Sad
Badhulu Thochanai,"Karthik, Mallikarjun",Sad
Nee Sneham,"R. P. Patnaik, Usha",Sad
Gelupuleni Samaram,Ramya Behra,Sad
Cheliya Cheliya,Ravi Varma,Sad
Reddamma Thalli,Mohana Bhogaraju,Sad
Nee Kosame,KK,Sad
Prema Sangati Emito,Sowmya Raoh,Sad
Evvarineppudu,KK,Sad
Nuvve Nuvve Kavalantundi,K. S. Chithra,Sad
Dhooram Dhooram,Tippu,Sad
Laali Laali,Gopika Poornima,Sad
Cheliya Cheliya,Shaan,Sad
Baby U Gonna Miss Me,Sagar,Sad
Endhukila,"M. M. Keeravani, Karthik",Sad
Hrudhayam,Hemachandra Vedala,Sad
Gelupu Thalupule,Sreerama Chandra,Sad
Marumallela Vaana,Hemachandra Vedala,Sad
Sameera,Karthik,Sad
Ee Kshnam Oke Oka Korika,K. S. Chithra,Sad
O Manasa,"Venu, Sumangali",Sad
Kannula Baasalu,Karthik,Sad
Pranam Poye,Yuvan Shankar Raja,Sad
Oke Oka Jeevitham,Haricharan,Sad
Manasa Manninchavamma,Karthik,Sad
Thalachithalachi,Shreya Ghoshal,Sad
Oopiri Aaguthunnadey,L. V. Revanth,Sad
Undiporaadhey,Sid Sriram,Sad
Gagananiki Udayam Okate,S. P. Balasubrahmanyam,Sad
O Manasa O Manasa,Ravi Varma,Sad
Selavanuko,Chaitra,Sad
Choododde Nannu,"Tippu, Sumangali",Sad
Aalayana Hara Thilo,S. P. Balasubrahmanyam,Sad
Nee Tholisariga,Usha,Sad
Prema Prema,"S. P. Balasubrahmanyam, O.S. Arun",Sad
Na Prema kathaku,Haricharan,Sad
Nuvve Na Shwasa,Shreya Ghoshal,Sad
Priya Priya,"Venu, Sumangali",Sad
